question,cypher,type,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
Hello,"RETURN ""Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured."" AS ground_truth",greeting,"Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.","Hello! I'm a knowledge assistant focused on folktales from all around the world. You can ask me about their characters, relationships, themes or how they are structured.",6.816819,[],1.0,2.5,0.8571428571428571
What can you do?,"RETURN ""I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others."" AS ground_truth",greeting,"I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.","I can answer questions about folktales: their narrative structure, the characters that make them up and their features, the relevant places and objects that appear, among others.",2.474205,[],1.0,3.5,0.8333333333333333
What is the weather like today?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,2.09976,[],1.0,0.0,0.6666666666666666
Who won the last football World Cup?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This question is outside my scope.,2.319443,[],1.0,0.0,0.6666666666666666
What is the capital of France?,RETURN 'This question is outside my scope.' AS ground_truth,out_of_scope,This question is outside my scope.,This question is outside my scope.,3.357834,[],1.0,0.5,1.0
Which movies did Momotaro appear in?,"RETURN ""This question is outside my scope."" AS ground_truth",out_of_scope,This question is outside my scope.,This information is not in the knowledge base.,21.291852,[],1.0,1.0,0.6666666666666666
What is Momotaro's surname?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not available in the provided context.,50.31258,"[""name: Momotaro\ndescription: Momotaro is the son of the old couple. He goes on a journey to get treasure from the Ogres' Island.\nrole: main_character""]",0.0,1.0,0.6666666666666666
Hold old is Momotaro?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not in the knowledge base.,24.68833,[],1.0,1.0,1.0
What is the town population in 'Sharing Joy and Sorrow'?,"RETURN ""This information is not in the knowledge base."" AS ground_truth",missing_data,This information is not in the knowledge base.,This information is not in the knowledge base.,19.650006,[],1.0,1.0,1.0
List all Genre nodes in the graph,MATCH (g:Genre) RETURN g.name AS ground_truth ORDER BY g.name,aggregation,fable; fairy_tale; legend; myth,"The genre nodes in the graph are:

1. Fable
2. Fairy Tale
3. Legend
4. Myth",25.320498,"[""{'name': 'fable'}"", ""{'name': 'fairy_tale'}"", ""{'name': 'legend'}"", ""{'name': 'myth'}""]",1.0,1.0,0.6666666666666666
How many Folktale nodes are in the graph?,"MATCH (f:Folktale) RETURN toString(count(f)) + "" folktale(s)"" AS ground_truth",aggregation,5 folktale(s),There are 5 folktale nodes in the graph.,26.151062,"[""{'total_folktales': 5}""]",1.0,1.0,0.6666666666666666
How many Event nodes are in the graph?,"MATCH (e:Event) RETURN toString(count(e)) + "" event(s)"" AS ground_truth",aggregation,95 event(s),There are 95 Event nodes in the graph.,24.763716,"[""{'count(e)': 95}""]",1.0,1.0,1.0
How many Character (Agent) nodes are in the graph?,"MATCH (a:Agent) RETURN toString(count(a)) + "" agent(s)"" AS ground_truth",aggregation,24 agent(s),There are 24 Character (Agent) nodes in the graph.,25.818178,"[""{'total_agents': 24}""]",1.0,1.0,1.0
How many Place nodes are in the graph?,"MATCH (p:Place) RETURN toString(count(p)) + "" place(s)"" AS ground_truth",aggregation,19 place(s),There are 19 Place nodes in the graph.,24.890331,"[""{'count(p)': 19}""]",1.0,1.0,0.6666666666666666
How many Object nodes are in the graph?,"MATCH (o:Object) RETURN toString(count(o)) + "" place(s)"" AS ground_truth",aggregation,12 place(s),There are 12 Object nodes in the graph.,24.843082,"[""{'count(o)': 12}""]",1.0,1.0,0.6666666666666666
How many typed relationships are in the graph?,"MATCH ()-[r]->() RETURN toString(count(r)) + "" relationship(s)"" AS ground_truth",aggregation,1047 relationship(s),There are 15 typed relationships in the graph.,25.817108,"[""{'total_relationship_types': 15}""]",0.0,1.0,0.6666666666666666
What is the nationality of the folktale 'The Bird Catcher'?,"MATCH (f:Folktale {title: ""The Birdcatcher""})-[:FROM_NATION]->(n:Nation) RETURN n.name AS ground_truth LIMIT 1",simple_fact,serbian,This information is not in the knowledge base.,23.748399,[],0.0,1.0,0.5
Where do the ogres live?,"MATCH (a:Agent)-[:LIVES_IN]->(p:Place) WHERE toLower(a.name) CONTAINS ""birdcatcher"" RETURN p.name AS ground_truth LIMIT 1",simple_fact,Constantinople,This information is not in the knowledge base.,40.704453,[],0.0,1.0,0.6666666666666666
What race is Momotaro?,"MATCH (a:Agent) WHERE toLower(a.name) CONTAINS ""momotaro"" RETURN a.race AS ground_truth LIMIT 1",simple_fact,human,The character Momotaro is human.,40.975116,"[""{'m.race': 'human'}""]",1.0,1.0,0.6666666666666666
What type of place is Constantinople?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""constantinople"" RETURN p.type AS ground_truth LIMIT 1",simple_fact,city,The answer is: Constantinople is a city.,45.503442,"[""{'p.type': 'city'}""]",1.0,1.0,0.6666666666666666
Who is the tailor character?,"MATCH (a:Agent) WHERE toLower(a.name) CONTAINS ""tailor"" RETURN a.description AS ground_truth LIMIT 1",simple_fact,A quarrelsome and abusive husband who beats his wife.,This information is not available in the provided context.,87.66812,"[""name: the tailor's wife\ndescription: A good, industrious, and pious wife who is abused by her husband.\nrole: primary_character""]",1.0,1.0,0.6666666666666666
What is the description of The Magistrates' Court?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""court"" RETURN p.description AS ground_truth LIMIT 1",simple_fact,"A building used for public services, where the magistrates held court.","The description of The Magistrates' Court is a building used for public services, where the magistrates held court.",85.693109,"[""name: The Magistrates' Court\ndescription: A building used for public services, where the magistrates held court.\ntype: community_building""]",1.0,1.0,0.8
What breed or species is Momotaro?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_GENRE]->(g:Genre) RETURN g.name AS ground_truth LIMIT 1",simple_fact,fairy_tale,"The character Momotaro is a human, but he has a dog as his companion.",51.359685,['name: dog\ndescription: The dog is a companion of Momotaro. He breaks the bolts and bars with him.\nrole: helper'],0.0,0.5,0.6666666666666666
What is the gender of the birdcatcher?,"MATCH (a:Agent) WHERE toLower(a.name) CONTAINS ""birdcatcher"" RETURN a.gender AS ground_truth LIMIT 1",simple_fact,male,This information is not in the knowledge base.,41.935268,[],0.0,1.0,0.8
How did Momotaro convince the animals to join him on his journey?,"RETURN ""Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them."" AS ground_truth",simple_fact,Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them.,This information is not in the knowledge base.,38.209446,[],0.0,1.0,0.6666666666666666
What is Momotaro's Role?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_EVENT]->(:Event)-[:HAS_AGENT]->(a:Agent {name: ""Momotaro""})-[:HAS_ROLE]->(r:Role) RETURN r.name AS ground_truth LIMIT 1",relational_query,main_character,Momotaro's role is the main character.,42.231835,"[""{'role': 'main_character'}""]",1.0,1.0,0.6666666666666666
